iter	Passed	Remaining
178	460	2113
179	462	2107
180	464	2101
181	466	2095
182	467	2089
183	471	2089
184	473	2085
185	475	2079
186	477	2073
187	478	2068
188	480	2061
189	481	2051
190	482	2043
191	485	2042
192	487	2038
193	489	2033
194	490	2026
195	492	2021
196	494	2014
197	495	2009
198	497	2003
199	501	2006
200	503	2001
201	505	1995
202	509	1999
203	511	1994
204	513	1989
205	515	1988
206	518	1984
207	519	1979
208	521	1974
209	523	1969
210	525	1964
211	526	1956
212	527	1949
213	530	1949
214	532	1944
215	534	1939
216	536	1934
217	538	1930
218	538	1922
219	540	1917
220	543	1917
221	546	1915
222	548	1911
223	550	1907
224	551	1900
225	552	1892
226	554	1888
227	556	1883
228	559	1883
229	561	1879
230	563	1875
231	564	1868
232	566	1863
233	567	1856
234	568	1849
235	569	1845
236	573	1845
237	575	1842
238	576	1835
239	578	1831
240	579	1824
241	580	1817
242	581	1811
243	582	1804
244	584	1800
245	586	1798
246	589	1795
247	591	1792
248	591	1785
249	594	1783
250	596	1780
251	598	1776
252	600	1772
253	603	1771
254	605	1768
255	606	1762
256	607	1755
257	609	1751
258	610	1747
259	612	1743
260	614	1739
261	616	1736
262	618	1733
263	619	1727
264	622	1725
265	623	1719
266	624	1715
267	625	1709
268	627	1705
269	629	1702
270	631	1698
271	633	1695
272	634	1690
273	635	1683
274	637	1680
275	639	1676
276	640	1670
277	642	1667
278	643	1663
279	649	1670
280	651	1667
281	654	1665
282	658	1667
283	659	1663
284	662	1661
285	664	1658
286	665	1652
287	668	1653
288	671	1650
289	672	1645
290	673	1639
291	675	1636
292	676	1631
293	677	1628
294	679	1623
295	683	1624
296	684	1619
297	687	1619
298	692	1622
299	694	1619
300	697	1619
301	699	1617
302	702	1615
303	707	1620
304	710	1618
305	714	1619
306	715	1614
307	717	1611
308	719	1609
309	721	1606
310	725	1607
311	727	1604
312	728	1599
313	730	1596
314	733	1595
315	736	1595
316	745	1606
317	753	1614
318	756	1614
319	759	1614
320	761	1611
321	765	1612
322	768	1610
323	769	1605
324	772	1605
325	775	1603
326	782	1609
327	786	1611
328	787	1607
329	790	1604
330	792	1600
331	795	1599
332	798	1599
333	800	1596
334	805	1598
335	807	1595
336	809	1592
337	811	1589
338	814	1587
339	815	1583
340	818	1581
341	820	1579
342	824	1578
343	825	1575
344	827	1571
345	830	1569
346	831	1564
347	833	1561
348	835	1557
349	836	1552
350	839	1551
351	841	1549
352	843	1546
353	847	1546
354	849	1543
355	856	1549
356	860	1550
357	864	1550
358	866	1547
359	869	1545
360	871	1542
361	873	1539
362	875	1537
363	878	1534
364	880	1531
365	882	1529
366	885	1527
367	888	1525
368	891	1523
369	893	1520
370	895	1518
371	897	1515
372	900	1512
373	902	1509
374	904	1507
375	907	1505
376	909	1502
377	911	1499
378	913	1497
379	915	1494
380	917	1491
381	920	1489
382	922	1486
383	924	1483
384	926	1480
385	929	1478
386	931	1475
387	933	1472
388	936	1470
389	938	1467
390	940	1464
391	942	1461
392	944	1459
393	946	1456
394	948	1453
395	952	1453
396	955	1450
397	958	1449
398	960	1446
399	962	1443
400	966	1443
401	968	1440
402	970	1437
403	974	1436
404	976	1433
405	978	1430
406	980	1428
407	983	1427
408	985	1424
409	989	1423
410	991	1420
411	993	1417
412	995	1415
413	997	1412
414	999	1409
415	1001	1405
416	1004	1404
417	1006	1401
418	1008	1398
419	1011	1396
420	1012	1393
421	1014	1390
422	1016	1386
423	1019	1385
424	1021	1382
425	1023	1378
426	1025	1376
427	1027	1373
428	1029	1370
429	1031	1367
430	1033	1364
431	1035	1361
432	1037	1358
433	1039	1355
434	1042	1353
435	1044	1350
436	1046	1348
437	1049	1346
438	1050	1342
439	1052	1339
440	1056	1339
441	1058	1336
442	1061	1334
443	1064	1332
444	1066	1329
445	1068	1327
446	1070	1324
447	1072	1321
448	1074	1318
449	1076	1315
450	1078	1312
451	1080	1309
452	1082	1306
453	1084	1304
454	1086	1301
455	1088	1298
456	1090	1295
457	1092	1293
458	1094	1290
459	1096	1287
460	1098	1284
461	1100	1282
462	1102	1279
463	1104	1276
464	1107	1273
465	1109	1271
466	1110	1268
467	1112	1264
468	1115	1262
469	1117	1259
470	1119	1256
471	1121	1254
472	1124	1252
473	1129	1253
474	1132	1251
475	1134	1249
476	1137	1247
477	1139	1244
478	1141	1241
479	1144	1239
480	1146	1236
481	1148	1234
482	1150	1231
483	1152	1228
484	1155	1227
485	1157	1224
486	1160	1222
487	1162	1219
488	1164	1216
489	1166	1214
490	1168	1211
491	1170	1208
492	1172	1205
493	1174	1203
494	1176	1200
495	1178	1197
496	1181	1195
497	1183	1192
498	1185	1189
499	1187	1187
500	1189	1184
501	1191	1181
502	1193	1178
503	1195	1176
504	1197	1173
505	1199	1170
506	1201	1167
507	1203	1165
508	1205	1162
509	1207	1159
510	1209	1157
511	1211	1154
512	1213	1151
513	1215	1149
514	1217	1146
515	1219	1144
516	1221	1141
517	1223	1138
518	1226	1137
519	1229	1134
520	1231	1131
521	1233	1129
522	1235	1127
523	1237	1124
524	1240	1122
525	1242	1120
526	1244	1117
527	1246	1114
528	1248	1111
529	1250	1109
530	1252	1106
531	1257	1106
532	1259	1103
533	1261	1100
534	1263	1098
535	1265	1095
536	1267	1092
537	1269	1090
538	1271	1087
539	1274	1085
540	1276	1082
541	1278	1080
542	1280	1077
543	1282	1075
544	1285	1073
545	1287	1070
546	1289	1067
547	1291	1065
548	1293	1062
549	1295	1059
550	1297	1057
551	1300	1055
552	1302	1052
553	1304	1049
554	1306	1047
555	1308	1044
556	1310	1042
557	1312	1039
558	1315	1037
559	1317	1034
560	1319	1032
561	1321	1030
562	1324	1027
563	1326	1025
564	1328	1022
565	1330	1020
566	1332	1017
567	1334	1015
568	1336	1012
569	1338	1009
570	1340	1006
571	1342	1004
572	1345	1002
573	1346	999
574	1348	996
575	1350	994
576	1352	991
577	1354	989
578	1356	986
579	1359	984
580	1361	981
581	1363	979
582	1365	976
583	1367	973
584	1369	971
585	1371	968
586	1373	966
587	1376	964
588	1377	961
589	1379	958
590	1381	956
591	1383	953
592	1385	951
593	1388	949
594	1390	946
595	1392	944
596	1394	941
597	1396	938
598	1398	936
599	1400	933
600	1402	930
601	1404	928
602	1406	926
603	1408	923
604	1410	920
605	1412	918
606	1414	915
607	1416	913
608	1419	911
609	1421	908
610	1423	906
611	1425	904
612	1427	901
613	1429	898
614	1431	896
615	1434	894
616	1436	891
617	1438	888
618	1439	886
619	1441	883
620	1443	881
621	1445	878
622	1448	876
623	1450	874
624	1452	871
625	1454	868
626	1456	866
627	1457	863
628	1459	861
629	1462	859
630	1465	856
631	1466	854
632	1468	851
633	1470	848
634	1472	846
635	1474	843
636	1477	841
637	1479	839
638	1482	837
639	1484	834
640	1486	832
641	1488	829
642	1490	827
643	1496	827
644	1498	824
645	1501	822
646	1503	820
647	1505	817
648	1508	815
649	1510	813
650	1513	811
651	1515	809
652	1517	806
653	1519	804
654	1522	802
655	1525	799
656	1527	797
657	1529	794
658	1531	792
659	1533	789
660	1535	787
661	1538	785
662	1540	783
663	1542	780
664	1544	778
665	1546	775
666	1548	773
667	1550	770
668	1554	768
669	1556	766
670	1558	763
671	1559	761
672	1561	758
673	1563	756
674	1565	753
675	1568	751
676	1570	749
677	1572	746
678	1574	744
679	1576	741
680	1578	739
681	1580	736
682	1583	734
683	1585	732
684	1587	729
685	1589	727
686	1591	724
687	1592	722
688	1594	719
689	1597	717
690	1599	715
691	1601	712
692	1604	710
693	1606	708
694	1607	705
695	1609	703
696	1612	701
697	1614	698
698	1616	696
699	1618	693
700	1620	691
701	1622	688
702	1624	686
703	1628	684
704	1630	682
705	1632	679
706	1634	677
707	1636	674
708	1638	672
709	1640	670
710	1643	667
711	1645	665
712	1647	663
713	1648	660
714	1650	658
715	1652	655
716	1655	653
717	1657	651
718	1659	648
719	1661	646
720	1663	643
721	1665	641
722	1667	638
723	1669	636
724	1671	634
725	1673	631
726	1675	629
727	1677	626
728	1679	624
729	1681	621
730	1683	619
731	1686	617
732	1688	615
733	1690	612
734	1692	610
735	1694	607
736	1696	605
737	1697	602
738	1700	600
739	1702	598
740	1704	595
741	1707	593
742	1709	591
743	1711	588
744	1713	586
745	1716	584
746	1718	581
747	1719	579
748	1721	576
749	1723	574
750	1725	572
751	1727	569
752	1730	567
753	1732	565
754	1734	562
755	1736	560
756	1738	558
757	1740	555
758	1742	553
759	1744	551
760	1747	548
761	1749	546
762	1751	543
763	1753	541
764	1754	539
765	1756	536
766	1759	534
767	1761	532
768	1763	529
769	1765	527
770	1767	524
771	1769	522
772	1771	520
773	1774	518
774	1776	515
775	1778	513
776	1780	511
777	1782	508
778	1784	506
779	1786	503
780	1788	501
781	1791	499
782	1793	496
783	1795	494
784	1797	492
785	1799	490
786	1801	487
787	1804	485
788	1806	483
789	1808	480
790	1810	478
791	1812	476
792	1814	473
793	1816	471
794	1820	469
795	1822	466
796	1824	464
797	1825	462
798	1827	459
799	1829	457
800	1831	454
801	1835	453
802	1837	450
803	1839	448
804	1840	445
805	1842	443
806	1844	441
807	1846	438
808	1849	436
809	1851	434
810	1853	431
811	1855	429
812	1857	427
813	1859	424
814	1861	422
815	1866	420
816	1868	418
817	1870	416
818	1872	413
819	1875	411
820	1876	409
821	1880	407
822	1882	404
823	1883	402
824	1885	399
825	1887	397
826	1889	395
827	1891	392
828	1894	390
829	1896	388
830	1898	386
831	1900	383
832	1902	381
833	1904	379
834	1906	376
835	1909	374
836	1911	372
837	1913	369
838	1915	367
839	1917	365
840	1919	362
841	1920	360
842	1924	358
843	1926	356
844	1928	353
845	1929	351
846	1931	348
847	1933	346
848	1935	344
849	1939	342
850	1941	339
851	1943	337
852	1945	335
853	1947	332
854	1949	330
855	1950	328
856	1953	326
857	1955	323
858	1958	321
859	1960	319
860	1961	316
861	1963	314
862	1965	312
863	1968	309
864	1970	307
865	1972	305
866	1974	302
867	1976	300
868	1978	298
869	1980	295
870	1983	293
871	1985	291
872	1987	289
873	1990	286
874	1992	284
875	1994	282
876	1996	280
877	1999	277
878	2002	275
879	2004	273
880	2006	271
881	2008	268
882	2010	266
883	2012	264
884	2014	261
885	2016	259
886	2018	257
887	2020	254
888	2022	252
889	2024	250
890	2027	248
891	2030	245
892	2032	243
893	2033	241
894	2035	238
895	2037	236
896	2039	234
897	2042	232
898	2044	229
899	2046	227
900	2048	225
901	2050	222
902	2052	220
903	2054	218
904	2058	216
905	2060	213
906	2062	211
907	2064	209
908	2066	206
909	2068	204
910	2070	202
911	2072	200
912	2074	197
913	2076	195
914	2079	193
915	2081	190
916	2083	188
917	2085	186
918	2088	184
919	2090	181
920	2091	179
921	2093	177
922	2095	174
923	2097	172
924	2099	170
925	2102	167
926	2104	165
927	2105	163
928	2107	161
929	2109	158
930	2111	156
931	2113	154
932	2116	151
933	2118	149
934	2120	147
935	2122	145
936	2123	142
937	2125	140
938	2127	138
939	2130	136
940	2132	133
941	2134	131
942	2136	129
943	2138	126
944	2140	124
945	2142	122
946	2145	120
947	2147	117
948	2149	115
949	2151	113
950	2153	110
951	2155	108
952	2157	106
953	2160	104
954	2163	101
955	2164	99
956	2166	97
957	2168	95
958	2170	92
959	2172	90
960	2175	88
961	2177	86
962	2179	83
963	2182	81
964	2184	79
965	2186	76
966	2188	74
967	2191	72
968	2193	70
969	2194	67
970	2196	65
971	2198	63
972	2200	61
973	2202	58
974	2205	56
975	2207	54
976	2209	52
977	2211	49
978	2213	47
979	2215	45
980	2217	42
981	2220	40
982	2222	38
983	2224	36
984	2227	33
985	2229	31
986	2231	29
987	2235	27
988	2237	24
989	2239	22
990	2241	20
991	2243	18
992	2245	15
993	2246	13
994	2250	11
995	2252	9
996	2254	6
997	2256	4
998	2258	2
999	2259	0
